0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/css/button.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /upload/1601289815607.jpg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/coffeeDetailMove.do?seq=1 HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/css/table.css HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/css/initial.css HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/jquery/jquery.twbsPagination.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/css/button.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /upload/1601289815607.jpg HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/coffeeDetailMove.do?seq=1 HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [04/Oct/2020:20:27:24 +0900] "GET /finalProject/css/initial.css HTTP/1.1" 404 843
